Section 5;;;;;Area;Min Value;102;;Area;;;;;Min Feret Diameter;;;;;Mean Gray Value;;;;;
ROIs;Area [um^2];Mean Gray Value;Min Feret [um];;;Max Value;10.740;;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);;Lower Limit of Interval;Upper Limit of Interval;Absolute Frequency;Relative Frequency (%);Number of Positive Fibers;Percentage of Positive Fibers
1;1.528;6;46,325;;;;;;0;500;353;15,516;;0;10;33,000;1,451;;0;10;2208,000;97,055;67,000;2,945
2;1.406;4;40,809;;Mean Gray Value;Min Value;1;;501;1000;499;21,934;;11;20;319,000;14,022;;11;20;32,000;1,407;;
3;2.049;5;44,758;;;Max Value;53;;1001;1500;484;21,275;;21;30;565,000;24,835;;21;30;17,000;0,747;;
4;743;10;28,734;;;;;;1501;2000;311;13,670;;31;40;623,000;27,385;;31;40;15,000;0,659;;
5;1.163;3;28,14;;Min Feret;Min Value;6,786;;2001;2500;200;8,791;;41;50;388,000;17,055;;41;50;2,000;0,088;;
6;1.500;5;45,465;;;Max Value;98,773;;2501;3000;145;6,374;;51;60;239,000;10,505;;51;60;1,000;0,044;;
7;1.687;5;37,943;;;;;;3001;3500;111;4,879;;61;70;85,000;3,736;;61;70;0,000;0,000;;
8;2.880;3;44,012;;Total Number of Fibers;2275;;;3501;4000;85;3,736;;71;80;20,000;0,879;;71;80;0,000;0,000;;
9;1.275;4;30,793;;;;;;4001;4500;44;1,934;;81;90;1,000;0,044;;81;90;0,000;0,000;;
10;989;4;35,367;;;;;;4501;5000;18;0,791;;91;100;2,000;0,088;;91;100;0,000;0,000;;
11;2.028;3;36,548;;Non-Scaled [pixel];;;;5001;5500;17;0,747;;;;0;100;;;;0;100,00;;
12;1.759;6;47,692;;2,4375;1;;;5501;6000;5;0,220;;;;;;;;;;;;
13;3.841;5;51,326;;pixel;um;;;6001;6500;1;0,044;;;;;;;;;;;;
14;977;5;34,379;;;;;;6501;7000;0;0,000;;;;;;;;;;;;
15;2.772;6;52,489;;5,94140625;pixels^2;;;7001;7500;0;0,000;;;;;;;;;;;;
16;193;1;14,32;;;;;;7501;8000;1;0,044;;;;;;;;;;;;
17;1.242;5;26,205;;;;;;8001;8500;0;0,000;;;;;;;;;;;;
18;385;6;24,187;;2,4375 pixel : 1 um;x : valore ;;;8501;9000;0;0,000;;;;;;;;;;;;
19;3.260;5;56,076;;;;;;9001;9500;0;0,000;;;;;;;;;;;;
20;2.778;2;33,855;;Media Area;1.559;um^2;;9501;10000;0;0,000;;;;;;;;;;;;
21;3.479;2;62,516;;x =;9262,652344;pixel^2;;;;1;100;;;;;;;;;;;;
22;2.684;4;39,034;;;;;;;;;;;;;;;;;;;;;
23;2.955;2;45,23;;Dev Std;1142,571997;um^2;;;;;;;;;;;;;;;;;
24;2.359;2;41,297;;;6788,484404;;;;;;;;;;;;;;;;;;
25;1.250;2;38,564;;;;;;;;;;;;;;;;;;;;;
26;2.959;4;57,099;;;;;;;;;;;;;;;;;;;;;
27;2.005;4;42,325;;;;;;;;;;;;;;;;;;;;;
28;1.222;4;38,098;;;;;;;;;;;;;;;;;;;;;
29;1.944;3;37,082;;;;;;;;;;;;;;;;;;;;;
30;2.845;3;48,177;;;;;;;;;;;;;;;;;;;;;
31;2.032;2;44,947;;;;;;;;;;;;;;;;;;;;;
32;355;2;13,631;;;;;;;;;;;;;;;;;;;;;
33;945;1;24,244;;;;;;;;;;;;;;;;;;;;;
34;1.849;2;42,225;;;;;;;;;;;;;;;;;;;;;
35;1.039;3;29,594;;;;;;;;;;;;;;;;;;;;;
36;973;4;28,093;;;;;;;;;;;;;;;;;;;;;
37;2.340;3;49,531;;;;;;;;;;;;;;;;;;;;;
38;1.537;3;30,778;;;;;;;;;;;;;;;;;;;;;
39;1.904;2;40,816;;;;;;;;;;;;;;;;;;;;;
40;2.818;3;49,682;;;;;;;;;;;;;;;;;;;;;
41;951;3;28,56;;;;;;;;;;;;;;;;;;;;;
42;989;1;31,941;;;;;;;;;;;;;;;;;;;;;
43;3.023;2;58,198;;;;;;;;;;;;;;;;;;;;;
44;2.345;6;40,958;;;;;;;;;;;;;;;;;;;;;
45;497;4;24,889;;;;;;;;;;;;;;;;;;;;;
46;404;4;23,142;;;;;;;;;;;;;;;;;;;;;
47;3.437;3;53,446;;;;;;;;;;;;;;;;;;;;;
48;3.476;4;54,862;;;;;;;;;;;;;;;;;;;;;
49;2.351;2;45,619;;;;;;;;;;;;;;;;;;;;;
50;2.196;3;46,621;;;;;;;;;;;;;;;;;;;;;
51;2.060;2;33,45;;;;;;;;;;;;;;;;;;;;;
52;2.405;2;48,572;;;;;;;;;;;;;;;;;;;;;
53;3.455;3;61,291;;;;;;;;;;;;;;;;;;;;;
54;1.895;5;44,688;;;;;;;;;;;;;;;;;;;;;
55;604;5;28,359;;;;;;;;;;;;;;;;;;;;;
56;480;3;20,913;;;;;;;;;;;;;;;;;;;;;
57;1.340;3;37,245;;;;;;;;;;;;;;;;;;;;;
58;2.720;2;45,152;;;;;;;;;;;;;;;;;;;;;
59;866;2;26,038;;;;;;;;;;;;;;;;;;;;;
60;561;6;18,706;;;;;;;;;;;;;;;;;;;;;
61;1.167;4;34,772;;;;;;;;;;;;;;;;;;;;;
62;2.564;5;58,079;;;;;;;;;;;;;;;;;;;;;
63;2.698;3;55,883;;;;;;;;;;;;;;;;;;;;;
64;2.841;2;47,651;;;;;;;;;;;;;;;;;;;;;
65;2.300;2;42,481;;;;;;;;;;;;;;;;;;;;;
66;303;2;18,783;;;;;;;;;;;;;;;;;;;;;
67;973;6;31,4;;;;;;;;;;;;;;;;;;;;;
68;3.144;3;56,931;;;;;;;;;;;;;;;;;;;;;
69;3.376;3;42,514;;;;;;;;;;;;;;;;;;;;;
70;2.161;3;44,651;;;;;;;;;;;;;;;;;;;;;
71;939;7;29,128;;;;;;;;;;;;;;;;;;;;;
72;2.841;2;49,15;;;;;;;;;;;;;;;;;;;;;
73;1.169;3;31,356;;;;;;;;;;;;;;;;;;;;;
74;949;4;29,668;;;;;;;;;;;;;;;;;;;;;
75;604;4;15,524;;;;;;;;;;;;;;;;;;;;;
76;2.500;2;45,007;;;;;;;;;;;;;;;;;;;;;
77;979;2;23,472;;;;;;;;;;;;;;;;;;;;;
78;3.114;2;42,882;;;;;;;;;;;;;;;;;;;;;
79;2.424;2;48,62;;;;;;;;;;;;;;;;;;;;;
80;3.122;2;51,407;;;;;;;;;;;;;;;;;;;;;
81;1.498;4;43,912;;;;;;;;;;;;;;;;;;;;;
82;2.287;3;51,056;;;;;;;;;;;;;;;;;;;;;
