fiber_id,area_px,centroid_x,centroid_y,perimeter_px,equiv_diameter_px,circularity,aspect_ratio,bbox_x,bbox_y,bbox_width,bbox_height
1,133738.00,1996.35,4645.32,7894.76,412.65,0.03,0.65,1723,4185,601,926
2,124665.00,7145.41,2908.65,8798.65,398.41,0.02,0.73,6342,2048,1490,2042
3,107173.00,2039.60,6106.21,6162.84,369.40,0.04,0.22,1914,5469,305,1379
4,106579.00,2470.19,2560.26,5483.36,368.38,0.04,0.57,2244,2074,535,931
5,100476.00,5374.11,2580.52,4711.07,357.67,0.06,1.81,5089,2411,630,348
6,82492.50,2256.59,4093.50,3903.20,324.09,0.07,2.12,1907,3941,663,313
7,76841.00,4226.70,1959.34,4657.76,312.79,0.04,1.74,3819,1750,776,447
8,76004.00,2544.17,7743.47,5795.04,311.08,0.03,0.61,2279,7219,499,817
9,73161.00,7613.24,5651.14,5521.21,305.21,0.03,0.18,7419,4764,309,1707
10,66959.00,6910.24,8589.25,5645.20,291.98,0.03,0.74,6571,8036,695,937
11,65230.50,2985.65,7586.67,4402.42,288.19,0.04,0.56,2730,7207,494,890
12,64137.00,6282.95,5365.06,3082.52,285.77,0.08,0.90,6085,5195,457,505
13,61201.00,2328.50,4601.77,2537.36,279.15,0.12,0.88,2122,4377,403,459
14,59256.50,6282.69,2661.64,3015.68,274.68,0.08,0.90,6046,2435,477,528
15,58836.50,1780.74,8234.39,3588.86,273.70,0.06,1.61,1480,8054,552,342
16,51979.00,2217.50,3825.65,3463.77,257.26,0.05,0.88,2004,3566,378,429
17,48846.00,2030.89,942.13,3491.67,249.38,0.05,0.72,1844,648,363,504
18,48650.50,2013.31,3497.25,3639.77,248.88,0.05,0.75,1748,3237,455,603
19,48213.50,5115.20,1610.93,3862.83,247.76,0.04,1.18,4833,1414,613,519
20,46505.00,7251.40,7747.92,3753.19,243.34,0.04,0.39,7086,7469,295,752
21,46104.50,3061.43,1831.05,3357.67,242.29,0.05,1.56,2710,1672,644,413
22,45837.00,6610.08,6587.12,2684.56,241.58,0.08,1.04,6417,6384,372,359
23,45776.00,5712.06,7704.54,4088.14,241.42,0.03,1.77,5239,7428,866,489
24,44980.00,2638.85,4316.24,1673.72,239.31,0.20,0.74,2469,4051,360,489
25,41606.50,2277.66,3375.38,2040.22,230.16,0.13,0.82,2155,3221,286,347
26,41111.50,2769.17,4718.92,3318.29,228.79,0.05,1.27,2572,4545,492,388
27,41060.50,7416.46,6867.79,3053.37,228.65,0.06,0.33,7290,6404,266,818
28,41004.00,2799.48,2601.10,1326.14,228.49,0.29,0.98,2643,2415,291,298
29,40584.50,5177.10,2258.99,2492.95,227.32,0.08,1.14,4954,2020,440,385
30,39061.00,3036.95,2401.62,1650.95,223.01,0.18,1.02,2892,2263,301,294
31,39015.50,2158.54,5074.99,3056.10,222.88,0.05,1.48,1840,4851,588,398
32,38295.50,4441.85,7863.38,3200.93,220.82,0.05,0.62,4141,7516,497,800
33,38125.50,6568.12,4167.62,2350.01,220.32,0.09,0.80,6407,3998,327,410
34,37094.00,2968.32,4917.98,3475.14,217.32,0.04,1.50,2737,4743,512,341
35,35944.50,1808.64,3591.04,1826.19,213.93,0.14,0.59,1676,3421,251,425
36,35331.50,2120.60,5703.92,2100.70,212.10,0.10,0.73,1980,5492,288,395
37,34934.00,7720.91,4488.18,2469.05,210.90,0.07,0.26,7619,4086,199,766
38,34901.00,5437.02,2826.93,1189.34,210.80,0.31,1.51,5312,2736,281,186
39,33868.00,6239.73,4730.56,2998.15,207.66,0.05,2.18,6011,4613,482,221
40,33533.00,4622.41,1981.23,2045.77,206.63,0.10,0.63,4501,1706,262,414
41,32357.00,3818.09,2514.15,1353.31,202.97,0.22,0.95,3701,2374,252,264
42,32047.00,5155.51,4312.03,1592.99,202.00,0.16,1.34,4981,4209,305,228
43,31839.00,3342.49,6876.24,1224.94,201.34,0.27,0.98,3193,6770,282,287
44,31718.00,5913.15,2779.07,2694.10,200.96,0.05,1.06,5737,2582,370,348
45,30890.00,6266.68,2138.41,2439.42,198.32,0.07,0.51,6086,1795,311,608
46,30736.00,5924.21,3550.06,2504.45,197.82,0.06,1.11,5716,3381,344,311
47,30137.50,6169.20,3883.02,734.48,195.89,0.70,1.09,6067,3788,215,198
48,29423.00,7030.97,5195.14,913.72,193.55,0.44,1.15,6907,5095,268,233
49,29398.00,6429.96,3244.34,781.64,193.47,0.60,0.79,6346,3131,199,252
50,29390.50,5511.62,2117.71,2181.07,193.45,0.08,1.50,5325,1932,459,306
51,28568.50,6039.23,3124.06,792.65,190.72,0.57,1.05,5926,3013,230,220
52,28515.00,6877.94,2553.47,1205.25,190.54,0.25,0.89,6761,2419,217,244
53,28463.50,5582.22,4949.89,736.62,190.37,0.66,1.20,5461,4853,232,193
54,28185.50,6839.17,3582.93,937.64,189.44,0.40,0.86,6714,3437,251,291
55,27741.50,7418.72,4491.10,2078.07,187.94,0.08,0.89,7216,4314,331,371
56,27230.00,3913.01,1705.21,2169.17,186.20,0.07,0.98,3770,1577,299,304
57,27137.50,3352.59,2531.43,710.57,185.88,0.68,1.15,3240,2430,228,199
58,27063.00,5859.72,3407.46,758.24,185.63,0.59,1.84,5733,3340,283,154
59,26968.50,2540.09,5293.00,2212.90,185.30,0.07,0.65,2262,4925,416,636
60,26682.00,5428.71,5161.78,1851.24,184.32,0.10,0.51,5353,4960,193,379
61,26521.00,2822.12,2232.39,1449.13,183.76,0.16,0.98,2708,2099,229,234
62,26354.00,6912.14,5057.62,684.64,183.18,0.71,1.46,6803,4977,236,162
63,26335.50,6742.63,3530.27,826.45,183.12,0.48,0.95,6625,3395,246,258
64,26329.50,4949.93,2946.93,2252.44,183.09,0.07,1.26,4789,2819,332,263
65,26239.50,2892.29,3389.28,761.60,182.78,0.57,1.65,2760,3314,271,164
66,26074.00,5143.58,1654.11,2310.40,182.20,0.06,1.11,5014,1532,322,289
67,26000.50,5753.78,6314.80,1264.56,181.95,0.20,1.82,5537,6156,417,229
68,25849.50,7063.16,4852.22,714.57,181.42,0.64,1.32,6941,4760,233,177
69,25569.00,5544.22,3618.30,725.01,180.43,0.61,1.53,5426,3520,259,169
70,25388.00,3341.34,5552.33,680.10,179.79,0.69,0.95,3249,5460,192,202
71,25331.00,6110.29,3716.42,687.33,179.59,0.67,1.05,6013,3624,196,187
72,25174.00,6315.00,4354.68,2060.38,179.03,0.07,0.82,6195,4205,240,294
73,25164.00,2438.61,3815.69,1808.47,179.00,0.10,0.77,2341,3670,226,294
74,24672.00,2438.46,6344.42,662.44,177.24,0.71,0.99,2348,6244,189,190
75,24376.00,6295.84,3719.22,617.87,176.17,0.80,1.18,6203,3639,192,163
76,24371.00,5739.51,2675.84,757.92,176.15,0.53,1.00,5628,2574,218,218
77,24336.00,4496.21,2457.01,1751.93,176.03,0.10,2.14,4306,2384,343,160
78,24282.50,4482.99,3173.03,754.22,175.83,0.54,1.33,4354,3083,249,187
79,24261.00,6421.05,4604.18,691.61,175.76,0.64,1.53,6293,4526,235,154
80,24213.50,5475.95,4481.79,694.28,175.58,0.63,1.59,5352,4400,252,158
81,23881.00,5013.44,2751.04,971.18,174.37,0.32,0.91,4900,2622,215,237
82,23754.50,6156.35,3428.85,658.00,173.91,0.69,1.38,6062,3349,226,164
83,23570.50,3126.44,2027.15,882.45,173.24,0.38,1.14,3011,1936,223,195
84,23491.50,4777.22,2195.50,1778.25,172.95,0.09,0.90,4615,1997,287,319
85,23234.00,3271.75,4370.75,1721.58,172.00,0.10,0.90,3168,4228,241,269
86,22945.00,3278.40,2028.14,717.98,170.92,0.56,0.85,3170,1914,200,234
87,22906.00,5769.06,2481.73,1310.40,170.78,0.17,1.83,5615,2414,282,154
88,22861.00,4751.07,7282.53,676.24,170.61,0.63,1.44,4631,7211,229,159
89,22829.50,6951.88,3299.77,706.22,170.49,0.58,0.68,6866,3173,175,256
90,22624.50,3086.11,2194.70,1185.89,169.72,0.20,1.82,2939,2115,269,148
91,22599.00,6122.82,2127.39,1281.28,169.63,0.17,0.50,6047,1942,162,325
92,22514.00,6869.96,4763.73,626.30,169.31,0.72,0.86,6791,4660,163,189
93,22366.00,6513.14,3623.21,644.30,168.75,0.68,1.34,6402,3539,211,157
94,22328.00,2125.01,5891.69,791.44,168.61,0.45,1.17,2007,5807,227,194
95,22255.50,7089.42,2855.22,1044.33,168.33,0.26,0.48,7030,2695,133,279
96,22254.00,6632.56,6302.30,687.61,168.33,0.59,2.15,6492,6241,260,121
97,22223.00,5884.87,2048.05,1422.99,168.21,0.14,0.73,5735,1838,282,386
98,22177.50,6251.82,3185.03,689.74,168.04,0.59,0.90,6154,3074,191,213
99,22177.00,6020.10,3952.31,2039.35,168.04,0.07,1.79,5819,3815,419,234
100,22156.50,2366.82,6521.27,603.91,167.96,0.76,1.15,2262,6440,190,165
101,22107.00,5098.04,3464.73,1993.97,167.77,0.07,1.63,4874,3342,425,261
102,22060.50,3202.77,3070.28,662.48,167.60,0.63,0.73,3115,2957,160,220
103,21985.00,3390.74,4800.36,1649.84,167.31,0.10,1.02,3260,4664,254,250
104,21965.00,2304.38,7058.32,1838.01,167.23,0.08,0.66,2198,6830,255,385
105,21907.50,4500.05,6899.59,964.87,167.01,0.30,1.69,4362,6806,314,186
106,21784.00,5182.85,2729.59,706.38,166.54,0.55,1.26,5084,2634,228,181
107,21775.50,6483.45,2655.63,680.28,166.51,0.59,0.86,6382,2542,177,206
108,21752.00,6871.34,3226.36,716.52,166.42,0.53,0.75,6782,3114,182,243
109,21702.50,4559.96,3286.24,685.54,166.23,0.58,0.90,4461,3186,194,215
110,21662.50,4581.84,6387.23,1882.25,166.08,0.08,0.65,4460,6222,215,332
111,21635.00,2777.54,3986.83,757.23,165.97,0.47,1.12,2643,3872,245,218
112,21618.50,2292.04,1173.87,1432.69,165.91,0.13,0.96,2186,1030,238,249
113,21476.00,6759.34,3192.81,642.10,165.36,0.65,0.88,6670,3096,179,204
114,21460.00,3070.35,2641.50,613.07,165.30,0.72,0.95,2980,2548,178,188
115,21422.00,4468.59,2614.22,1600.87,165.15,0.11,0.92,4360,2499,227,247
116,21388.00,4143.94,5084.27,619.13,165.02,0.70,1.52,4044,5011,214,141
